time,error,es(x),es(y),gt(x),gt(y)
1499267346,0.417699,2.5,4.25,2.312364,4.623182
1499267347,0.417402,2.5,4.25,2.312121,4.622727
1499267348,0.417105,2.5,4.25,2.311879,4.622273
1499267349,0.416809,2.5,4.25,2.311636,4.621818
1499267350,0.416513,2.5,4.25,2.311394,4.621364
1499267351,0.416218,2.5,4.25,2.311152,4.620909
1499267352,0.415923,2.5,4.25,2.310909,4.620455
1499267353,0.415629,2.5,4.25,2.310667,4.62
1499267354,0.415335,2.5,4.25,2.310424,4.619545
1499267355,0.415041,2.5,4.25,2.310182,4.619091
1499267356,0.414748,2.5,4.25,2.309939,4.618636
1499267357,0.414455,2.5,4.25,2.309697,4.618182
1499267358,0.414163,2.5,4.25,2.309455,4.617727
1499267359,0.413871,2.5,4.25,2.309212,4.617273
1499267360,0.41358,2.5,4.25,2.30897,4.616818
1499267361,0.413289,2.5,4.25,2.308727,4.616364
1499267362,0.816751,1.5,4.5,2.308485,4.615909
1499267363,0.816447,1.5,4.5,2.308242,4.615455
1499267364,0.816143,1.5,4.5,2.308,4.615
1499267365,0.815839,1.5,4.5,2.307758,4.614545
1499267366,0.815535,1.5,4.5,2.307515,4.614091
1499267367,0.815232,1.5,4.5,2.307273,4.613636
1499267368,0.814928,1.5,4.5,2.30703,4.613182
1499267369,0.814625,1.5,4.5,2.306788,4.612727
1499267370,0.814322,1.5,4.5,2.306545,4.612273
1499267371,0.81402,1.5,4.5,2.306303,4.611818
1499267372,0.813717,1.5,4.5,2.306061,4.611364
1499267373,0.813415,1.5,4.5,2.305818,4.610909
1499267374,0.813113,1.5,4.5,2.305576,4.610455
1499267375,0.812811,1.5,4.5,2.305333,4.61
1499267376,0.812509,1.5,4.5,2.305091,4.609545
1499267377,0.812208,1.5,4.5,2.304848,4.609091
1499267378,0.811907,1.5,4.5,2.304606,4.608636
1499267379,0.811606,1.5,4.5,2.304364,4.608182
1499267380,0.811305,1.5,4.5,2.304121,4.607727
1499267381,0.811005,1.5,4.5,2.303879,4.607273
1499267382,0.810704,1.5,4.5,2.303636,4.606818
1499267383,0.810404,1.5,4.5,2.303394,4.606364
1499267384,0.406719,2.5,4.25,2.303152,4.605909
1499267385,0.406439,2.5,4.25,2.302909,4.605455
1499267386,0.406159,2.5,4.25,2.302667,4.605
1499267387,0.40588,2.5,4.25,2.302424,4.604545
1499267388,0.405601,2.5,4.25,2.302182,4.604091
1499267391,0.404768,2.5,4.25,2.301455,4.602727
1499267392,0.404491,2.5,4.25,2.301212,4.602273
1499267393,0.404214,2.5,4.25,2.30097,4.601818
1499267394,0.403938,2.5,4.25,2.300727,4.601364
1499267395,0.403663,2.5,4.25,2.300485,4.600909
1499267396,0.403388,2.5,4.25,2.300242,4.600455
1499267397,0.403113,2.5,4.25,2.3,4.6
1499267398,0.403113,2.5,4.25,2.3,4.6
1499267399,0.403113,2.5,4.25,2.3,4.6
1499267400,0.403113,2.5,4.25,2.3,4.6
1499267401,0.403113,2.5,4.25,2.3,4.6
1499267402,0.403113,2.5,4.25,2.3,4.6
1499267403,0.403113,2.5,4.25,2.3,4.6
1499267404,0.403113,2.5,4.25,2.3,4.6
1499267405,0.403113,2.5,4.25,2.3,4.6
1499267406,0.403113,2.5,4.25,2.3,4.6
1499267407,0.403113,2.5,4.25,2.3,4.6
1499267408,0.403113,2.5,4.25,2.3,4.6
1499267409,0.403113,2.5,4.25,2.3,4.6
1499267410,0.403113,2.5,4.25,2.3,4.6
1499267411,0.403113,2.5,4.25,2.3,4.6
1499267412,0.403113,2.5,4.25,2.3,4.6
1499267413,0.403113,2.5,4.25,2.3,4.6
1499267414,0.403113,2.5,4.25,2.3,4.6
1499267415,0.403113,2.5,4.25,2.3,4.6
1499267416,0.403113,2.5,4.25,2.3,4.6
1499267417,0.403113,2.5,4.25,2.3,4.6
1499267418,0.403113,2.5,4.25,2.3,4.6
1499267421,5.644688,2.5,4.25,5.7,8.9
1499267422,5.644688,2.5,4.25,5.7,8.9
1499267423,4.490267,2.5,5.75,5.7,8.9
1499267424,4.490267,2.5,5.75,5.7,8.9
1499267425,4.490267,2.5,5.75,5.7,8.9
1499267426,4.490267,2.5,5.75,5.7,8.9
1499267427,4.490267,2.5,5.75,5.7,8.9
1499267428,4.490267,2.5,5.75,5.7,8.9
1499267429,4.490267,2.5,5.75,5.7,8.9
1499267430,4.490267,2.5,5.75,5.7,8.9
1499267431,4.490267,2.5,5.75,5.7,8.9
1499267432,0.60208,5.25,8.5,5.7,8.9
1499267433,0.60208,5.25,8.5,5.7,8.9
1499267434,0.60208,5.25,8.5,5.7,8.9
1499267435,0.60208,5.25,8.5,5.7,8.9
1499267436,0.60208,5.25,8.5,5.7,8.9
1499267439,0.60208,5.25,8.5,5.7,8.9
1499267441,3.138471,4.5,6,5.7,8.9
1499267442,3.138471,4.5,6,5.7,8.9
1499267443,3.138471,4.5,6,5.7,8.9
1499267444,3.138471,4.5,6,5.7,8.9
1499267445,3.138471,4.5,6,5.7,8.9
1499267446,3.138471,4.5,6,5.7,8.9
1499267447,3.138471,4.5,6,5.7,8.9
1499267448,3.138471,4.5,6,5.7,8.9
1499267449,3.138471,4.5,6,5.7,8.9
1499267450,3.138471,4.5,6,5.7,8.9
1499267451,3.138471,4.5,6,5.7,8.9
1499267452,3.138471,4.5,6,5.7,8.9
1499267453,3.138471,4.5,6,5.7,8.9
1499267454,3.138471,4.5,6,5.7,8.9
1499267455,3.138471,4.5,6,5.7,8.9
1499267456,3.138471,4.5,6,5.7,8.9
1499267457,3.138471,4.5,6,5.7,8.9
1499267460,3.138471,4.5,6,5.7,8.9
1499267463,3.138471,4.5,6,5.7,8.9
1499267466,3.138471,4.5,6,5.7,8.9
1499267469,3.138471,4.5,6,5.7,8.9
1499267472,3.138471,4.5,6,5.7,8.9
1499267475,3.138471,4.5,6,5.7,8.9
1499267478,3.138471,4.5,6,5.7,8.9
1499267481,3.138471,4.5,6,5.7,8.9
1499267484,3.138471,4.5,6,5.7,8.9
1499267487,1.7,4.5,6,3,6.8
1499267490,3.354102,4.5,6,1.2,5.4
1499267493,3.354102,4.5,6,1.2,5.4
1499267496,3.354102,4.5,6,1.2,5.4
1499267499,3.354102,4.5,6,1.2,5.4
1499267500,3.354102,4.5,6,1.2,5.4
1499267501,3.354102,4.5,6,1.2,5.4
1499267502,3.354102,4.5,6,1.2,5.4
1499267503,3.354102,4.5,6,1.2,5.4
1499267504,3.354102,4.5,6,1.2,5.4
1499267505,3.354102,4.5,6,1.2,5.4
1499267506,3.354102,4.5,6,1.2,5.4
1499267507,3.083333,4.5,6,1.566667,5.05
1499267508,2.877113,4.5,6,1.933333,4.7
1499267509,2.75,4.5,6,2.3,4.35
1499267510,2.713137,4.5,6,2.666667,4
1499267511,2.770128,4.5,6,3.033333,3.65
1499267514,2.915476,4.5,6,3.4,3.3
1499267517,2.915476,4.5,6,3.4,3.3
1499267520,2.915476,4.5,6,3.4,3.3
1499267523,2.915476,4.5,6,3.4,3.3
1499267526,2.915476,4.5,6,3.4,3.3
1499267529,2.915476,4.5,6,3.4,3.3
1499267532,2.915476,4.5,6,3.4,3.3
1499267535,2.915476,4.5,6,3.4,3.3
1499267538,2.915476,4.5,6,3.4,3.3
1499267541,2.915476,4.5,6,3.4,3.3
1499267544,2.915476,4.5,6,3.4,3.3
1499267547,2.915476,4.5,6,3.4,3.3
1499267550,2.915476,4.5,6,3.4,3.3
1499267553,2.915476,4.5,6,3.4,3.3
1499267556,2.915476,4.5,6,3.4,3.3
1499267559,2.136001,2.25,1.5,3.4,3.3
1499267560,2.136001,2.25,1.5,3.4,3.3
1499267561,2.136001,2.25,1.5,3.4,3.3
1499267562,2.136001,2.25,1.5,3.4,3.3
1499267565,2.136001,2.25,1.5,3.4,3.3
1499267568,2.136001,2.25,1.5,3.4,3.3
1499267571,2.136001,2.25,1.5,3.4,3.3
1499267574,2.136001,2.25,1.5,3.4,3.3
1499267577,2.136001,2.25,1.5,3.4,3.3
1499267580,2.136001,2.25,1.5,3.4,3.3
1499267583,2.136001,2.25,1.5,3.4,3.3
1499267586,2.136001,2.25,1.5,3.4,3.3
1499267588,2.136001,2.25,1.5,3.4,3.3
1499267589,2.136001,2.25,1.5,3.4,3.3
1499267590,2.136001,2.25,1.5,3.4,3.3
1499267591,2.136001,2.25,1.5,3.4,3.3
1499267592,2.136001,2.25,1.5,3.4,3.3
1499267593,2.136001,2.25,1.5,3.4,3.3
1499267594,2.136001,2.25,1.5,3.4,3.3
1499267595,2.136001,2.25,1.5,3.4,3.3
1499267596,2.136001,2.25,1.5,3.4,3.3
1499267597,2.136001,2.25,1.5,3.4,3.3
1499267598,2.136001,2.25,1.5,3.4,3.3
1499267599,2.136001,2.25,1.5,3.4,3.3
1499267601,2.136001,2.25,1.5,3.4,3.3
1499267602,2.136001,2.25,1.5,3.4,3.3
1499267604,2.136001,2.25,1.5,3.4,3.3
1499267605,2.136001,2.25,1.5,3.4,3.3
1499267606,2.136001,2.25,1.5,3.4,3.3
1499267607,2.136001,2.25,1.5,3.4,3.3
1499267608,2.136001,2.25,1.5,3.4,3.3
1499267609,2.136001,2.25,1.5,3.4,3.3
1499267610,2.136001,2.25,1.5,3.4,3.3
1499267613,2.136001,2.25,1.5,3.4,3.3
1499267616,2.136001,2.25,1.5,3.4,3.3
1499267619,2.136001,2.25,1.5,3.4,3.3
1499267621,2.136001,2.25,1.5,3.4,3.3
1499267622,2.136001,2.25,1.5,3.4,3.3
1499267625,2.136001,2.25,1.5,3.4,3.3
1499267628,2.136001,2.25,1.5,3.4,3.3
1499267631,2.136001,2.25,1.5,3.4,3.3
1499267632,2.136001,2.25,1.5,3.4,3.3
1499267633,2.136001,2.25,1.5,3.4,3.3
1499267634,2.136001,2.25,1.5,3.4,3.3
1499267637,2.136001,2.25,1.5,3.4,3.3
1499267640,2.136001,2.25,1.5,3.4,3.3
1499267642,2.136001,2.25,1.5,3.4,3.3
1499267643,2.136001,2.25,1.5,3.4,3.3
1499267646,2.136001,2.25,1.5,3.4,3.3
1499267649,2.136001,2.25,1.5,3.4,3.3
1499267650,2.136001,2.25,1.5,3.4,3.3
1499267651,2.136001,2.25,1.5,3.4,3.3
1499267652,2.136001,2.25,1.5,3.4,3.3
1499267653,2.136001,2.25,1.5,3.4,3.3
1499267654,2.136001,2.25,1.5,3.4,3.3
1499267655,2.136001,2.25,1.5,3.4,3.3
1499267656,2.136001,2.25,1.5,3.4,3.3
1499267657,2.136001,2.25,1.5,3.4,3.3
1499267658,2.136001,2.25,1.5,3.4,3.3
1499267659,2.136001,2.25,1.5,3.4,3.3
1499267660,2.136001,2.25,1.5,3.4,3.3
1499267661,2.136001,2.25,1.5,3.4,3.3
1499267662,2.136001,2.25,1.5,3.4,3.3
1499267663,2.136001,2.25,1.5,3.4,3.3
1499267664,2.136001,2.25,1.5,3.4,3.3
