time,error,es(x),es(y),gt(x),gt(y)
1499362294,0.60208,5.25,8.5,5.7,8.9
1499362295,0.60208,5.25,8.5,5.7,8.9
1499362296,0.60208,5.25,8.5,5.7,8.9
1499362299,0.60208,5.25,8.5,5.7,8.9
1499362302,0.60208,5.25,8.5,5.7,8.9
1499362305,0.60208,5.25,8.5,5.7,8.9
1499362308,0.60208,5.25,8.5,5.7,8.9
1499362311,0.60208,5.25,8.5,5.7,8.9
1499362314,0.60208,5.25,8.5,5.7,8.9
1499362317,0.514296,5.25,8.5,5.02,8.04
1499362320,2.150581,5.25,8.5,4,6.75
1499362323,3.794008,5.25,8.5,2.98,5.46
1499362326,4.890041,5.25,8.5,2.3,4.6
1499362329,4.890041,5.25,8.5,2.3,4.6
1499362332,4.890041,5.25,8.5,2.3,4.6
1499362335,4.890041,5.25,8.5,2.3,4.6
1499362338,4.890041,5.25,8.5,2.3,4.6
1499362341,4.890041,5.25,8.5,2.3,4.6
1499362344,4.890041,5.25,8.5,2.3,4.6
1499362347,4.890041,5.25,8.5,2.3,4.6
1499362349,4.890041,5.25,8.5,2.3,4.6
1499362350,4.890041,5.25,8.5,2.3,4.6
1499362351,4.890041,5.25,8.5,2.3,4.6
1499362353,4.890041,5.25,8.5,2.3,4.6
1499362356,4.890041,5.25,8.5,2.3,4.6
1499362359,4.893126,5.25,8.5,2.215385,4.661538
1499362362,4.915747,5.25,8.5,1.961538,4.846154
1499362365,4.958176,5.25,8.5,1.707692,5.030769
1499362368,5.019909,5.25,8.5,1.453846,5.215385
1499362371,5.100245,5.25,8.5,1.2,5.4
1499362374,5.100245,5.25,8.5,1.2,5.4
1499362377,5.100245,5.25,8.5,1.2,5.4
1499362380,5.100245,5.25,8.5,1.2,5.4
1499362383,5.100245,5.25,8.5,1.2,5.4
1499362386,5.100245,5.25,8.5,1.2,5.4
1499362389,5.100245,5.25,8.5,1.2,5.4
1499362392,5.100245,5.25,8.5,1.2,5.4
1499362395,5.100245,5.25,8.5,1.2,5.4
1499362396,5.100245,5.25,8.5,1.2,5.4
1499362397,5.100245,5.25,8.5,1.2,5.4
1499362398,5.100245,5.25,8.5,1.2,5.4
1499362401,5.100245,5.25,8.5,1.2,5.4
1499362404,5.100245,5.25,8.5,1.2,5.4
1499362407,5.100245,5.25,8.5,1.2,5.4
1499362410,5.100245,5.25,8.5,1.2,5.4
1499362413,5.100245,5.25,8.5,1.2,5.4
1499362416,5.100245,5.25,8.5,1.2,5.4
1499362419,5.100245,5.25,8.5,1.2,5.4
1499362422,5.100245,5.25,8.5,1.2,5.4
1499362425,5.100245,5.25,8.5,1.2,5.4
1499362428,5.100245,5.25,8.5,1.2,5.4
1499362431,5.100245,5.25,8.5,1.2,5.4
1499362434,5.100245,5.25,8.5,1.2,5.4
1499362437,5.100245,5.25,8.5,1.2,5.4
1499362440,5.100245,5.25,8.5,1.2,5.4
1499362443,5.100245,5.25,8.5,1.2,5.4
1499362446,5.100245,5.25,8.5,1.2,5.4
1499362449,5.100245,5.25,8.5,1.2,5.4
1499362452,5.100245,5.25,8.5,1.2,5.4
1499362455,5.100245,5.25,8.5,1.2,5.4
1499362458,5.100245,5.25,8.5,1.2,5.4
1499362461,5.100245,5.25,8.5,1.2,5.4
1499362464,5.100245,5.25,8.5,1.2,5.4
1499362467,5.100245,5.25,8.5,1.2,5.4
1499362470,5.100245,5.25,8.5,1.2,5.4
1499362473,5.100245,5.25,8.5,1.2,5.4
1499362476,5.100245,5.25,8.5,1.2,5.4
1499362479,5.100245,5.25,8.5,1.2,5.4
1499362482,5.100245,5.25,8.5,1.2,5.4
1499362485,5.100245,5.25,8.5,1.2,5.4
1499362488,5.100245,5.25,8.5,1.2,5.4
1499362491,5.100245,5.25,8.5,1.2,5.4
1499362494,5.100245,5.25,8.5,1.2,5.4
1499362497,5.100245,5.25,8.5,1.2,5.4
1499362500,5.100245,5.25,8.5,1.2,5.4
1499362503,5.100245,5.25,8.5,1.2,5.4
1499362506,5.100245,5.25,8.5,1.2,5.4
1499362509,5.100245,5.25,8.5,1.2,5.4
1499362512,5.100245,5.25,8.5,1.2,5.4
1499362515,5.100245,5.25,8.5,1.2,5.4
1499362518,5.100245,5.25,8.5,1.2,5.4
1499362521,5.100245,5.25,8.5,1.2,5.4
1499362524,5.100245,5.25,8.5,1.2,5.4
1499362527,5.100245,5.25,8.5,1.2,5.4
1499362530,5.100245,5.25,8.5,1.2,5.4
1499362533,5.100245,5.25,8.5,1.2,5.4
1499362536,5.100245,5.25,8.5,1.2,5.4
1499362539,5.100245,5.25,8.5,1.2,5.4
1499362542,5.100245,5.25,8.5,1.2,5.4
1499362545,5.100245,5.25,8.5,1.2,5.4
1499362548,5.100245,5.25,8.5,1.2,5.4
1499362551,5.100245,5.25,8.5,1.2,5.4
1499362554,5.100245,5.25,8.5,1.2,5.4
1499362557,5.100245,5.25,8.5,1.2,5.4
1499362560,5.100245,5.25,8.5,1.2,5.4
1499362563,5.100245,5.25,8.5,1.2,5.4
1499362566,5.046726,5.25,8.5,1.566667,5.05
1499362569,5.188797,5.25,8.5,2.666667,4
1499362572,5.519284,5.25,8.5,3.4,3.3
1499362575,5.519284,5.25,8.5,3.4,3.3
1499362578,5.519284,5.25,8.5,3.4,3.3
1499362581,5.519284,5.25,8.5,3.4,3.3
1499362584,5.519284,5.25,8.5,3.4,3.3
1499362586,1.118034,3.9,2.3,3.4,3.3
1499362587,1.118034,3.9,2.3,3.4,3.3
1499362588,1.118034,3.9,2.3,3.4,3.3
1499362590,1.118034,3.9,2.3,3.4,3.3
1499362593,1.118034,3.9,2.3,3.4,3.3
1499362596,1.118034,3.9,2.3,3.4,3.3
1499362599,1.118034,3.9,2.3,3.4,3.3
1499362602,1.118034,3.9,2.3,3.4,3.3
1499362605,1.118034,3.9,2.3,3.4,3.3
1499362608,1.118034,3.9,2.3,3.4,3.3
1499362611,1.118034,3.9,2.3,3.4,3.3
1499362614,1.118034,3.9,2.3,3.4,3.3
1499362617,1.118034,3.9,2.3,3.4,3.3
1499362620,1.118034,3.9,2.3,3.4,3.3
1499362623,1.118034,3.9,2.3,3.4,3.3
1499362626,1.118034,3.9,2.3,3.4,3.3
1499362629,1.118034,3.9,2.3,3.4,3.3
1499362632,1.118034,3.9,2.3,3.4,3.3
1499362635,1.118034,3.9,2.3,3.4,3.3
1499362637,1.118034,3.9,2.3,3.4,3.3
1499362638,1.118034,3.9,2.3,3.4,3.3
1499362639,1.118034,3.9,2.3,3.4,3.3
1499362641,1.118034,3.9,2.3,3.4,3.3
1499362644,1.118034,3.9,2.3,3.4,3.3
1499362647,1.118034,3.9,2.3,3.4,3.3
1499362650,1.118034,3.9,2.3,3.4,3.3
1499362653,1.118034,3.9,2.3,3.4,3.3
1499362656,1.118034,3.9,2.3,3.4,3.3
1499362659,1.118034,3.9,2.3,3.4,3.3
1499362662,1.118034,3.9,2.3,3.4,3.3
1499362665,1.118034,3.9,2.3,3.4,3.3
1499362666,1.118034,3.9,2.3,3.4,3.3
1499362667,1.118034,3.9,2.3,3.4,3.3
1499362668,1.118034,3.9,2.3,3.4,3.3
1499362671,1.118034,3.9,2.3,3.4,3.3
1499362674,1.118034,3.9,2.3,3.4,3.3
1499362677,1.118034,3.9,2.3,3.4,3.3
1499362680,1.118034,3.9,2.3,3.4,3.3
1499362683,1.118034,3.9,2.3,3.4,3.3
1499362686,1.118034,3.9,2.3,3.4,3.3
1499362689,1.118034,3.9,2.3,3.4,3.3
1499362692,1.118034,3.9,2.3,3.4,3.3
1499362695,1.118034,3.9,2.3,3.4,3.3
1499362698,1.118034,3.9,2.3,3.4,3.3
1499362701,1.118034,3.9,2.3,3.4,3.3
1499362704,1.118034,3.9,2.3,3.4,3.3
1499362707,1.118034,3.9,2.3,3.4,3.3
1499362710,1.118034,3.9,2.3,3.4,3.3
1499362713,1.118034,3.9,2.3,3.4,3.3
1499362716,1.118034,3.9,2.3,3.4,3.3
1499362719,1.118034,3.9,2.3,3.4,3.3
1499362722,1.118034,3.9,2.3,3.4,3.3
1499362725,1.118034,3.9,2.3,3.4,3.3
1499362728,1.118034,3.9,2.3,3.4,3.3
1499362731,1.118034,3.9,2.3,3.4,3.3
1499362734,1.118034,3.9,2.3,3.4,3.3
1499362737,1.118034,3.9,2.3,3.4,3.3
1499362740,1.118034,3.9,2.3,3.4,3.3
1499362743,1.118034,3.9,2.3,3.4,3.3
1499362746,1.118034,3.9,2.3,3.4,3.3
1499362749,1.118034,3.9,2.3,3.4,3.3
1499362752,1.118034,3.9,2.3,3.4,3.3
1499362755,1.118034,3.9,2.3,3.4,3.3
1499362758,1.118034,3.9,2.3,3.4,3.3
1499362761,1.118034,3.9,2.3,3.4,3.3
1499362764,1.118034,3.9,2.3,3.4,3.3
1499362765,2.906888,0.5,3.5,3.4,3.3
1499362766,2.906888,0.5,3.5,3.4,3.3
1499362767,2.906888,0.5,3.5,3.4,3.3
1499362770,2.906888,0.5,3.5,3.4,3.3
1499362773,2.906888,0.5,3.5,3.4,3.3
1499362776,2.906888,0.5,3.5,3.4,3.3
1499362779,2.906888,0.5,3.5,3.4,3.3
1499362782,2.906888,0.5,3.5,3.4,3.3
1499362785,2.906888,0.5,3.5,3.4,3.3
1499362788,2.906888,0.5,3.5,3.4,3.3
1499362791,2.906888,0.5,3.5,3.4,3.3
1499362794,2.906888,0.5,3.5,3.4,3.3
1499362797,2.906888,0.5,3.5,3.4,3.3
1499362800,2.906888,0.5,3.5,3.4,3.3
1499362803,2.906888,0.5,3.5,3.4,3.3
1499362806,2.906888,0.5,3.5,3.4,3.3
1499362809,2.906888,0.5,3.5,3.4,3.3
1499362812,2.906888,0.5,3.5,3.4,3.3
1499362815,2.906888,0.5,3.5,3.4,3.3
1499362818,2.906888,0.5,3.5,3.4,3.3
1499362821,2.906888,0.5,3.5,3.4,3.3
1499362824,2.906888,0.5,3.5,3.4,3.3
1499362827,2.906888,0.5,3.5,3.4,3.3
1499362830,2.906888,0.5,3.5,3.4,3.3
1499362833,2.906888,0.5,3.5,3.4,3.3
1499362836,2.906888,0.5,3.5,3.4,3.3
1499362839,2.906888,0.5,3.5,3.4,3.3
1499362842,2.906888,0.5,3.5,3.4,3.3
1499362845,2.906888,0.5,3.5,3.4,3.3
1499362848,2.906888,0.5,3.5,3.4,3.3
1499362851,2.906888,0.5,3.5,3.4,3.3
1499362854,2.906888,0.5,3.5,3.4,3.3
1499362857,2.906888,0.5,3.5,3.4,3.3
1499362860,2.906888,0.5,3.5,3.4,3.3
1499362863,2.906888,0.5,3.5,3.4,3.3
1499362866,2.906888,0.5,3.5,3.4,3.3
1499362869,2.906888,0.5,3.5,3.4,3.3
1499362872,2.906888,0.5,3.5,3.4,3.3
1499362875,2.906888,0.5,3.5,3.4,3.3
1499362878,2.906888,0.5,3.5,3.4,3.3
1499362881,2.906888,0.5,3.5,3.4,3.3
1499362884,2.906888,0.5,3.5,3.4,3.3
1499362887,2.906888,0.5,3.5,3.4,3.3
1499362890,2.906888,0.5,3.5,3.4,3.3
1499362891,2.906888,0.5,3.5,3.4,3.3
1499362892,2.906888,0.5,3.5,3.4,3.3
1499362893,2.906888,0.5,3.5,3.4,3.3
1499362894,2.906888,0.5,3.5,3.4,3.3
1499362896,2.906888,0.5,3.5,3.4,3.3
1499362899,2.906888,0.5,3.5,3.4,3.3
1499362900,2.906888,0.5,3.5,3.4,3.3
1499362901,2.906888,0.5,3.5,3.4,3.3
1499362902,2.906888,0.5,3.5,3.4,3.3
1499362903,2.906888,0.5,3.5,3.4,3.3
1499362904,2.906888,0.5,3.5,3.4,3.3
1499362905,2.906888,0.5,3.5,3.4,3.3
1499362908,2.906888,0.5,3.5,3.4,3.3
1499362911,2.906888,0.5,3.5,3.4,3.3
1499362914,2.906888,0.5,3.5,3.4,3.3
