time,error,es(x),es(y),gt(x),gt(y)
1499181841,4.217161,4.5,9,2.298139,5.403299
1499181842,4.217284,4.5,9,2.298263,5.403079
1499181843,4.217407,4.5,9,2.298387,5.402859
1499181844,4.21753,4.5,9,2.298511,5.402639
1499181845,4.217653,4.5,9,2.298635,5.402419
1499181846,1.847056,1.666667,3.666667,2.298759,5.402199
1499181847,1.846892,1.666667,3.666667,2.298883,5.401979
1499181848,1.846727,1.666667,3.666667,2.299007,5.40176
1499181849,1.846563,1.666667,3.666667,2.299132,5.40154
1499181850,1.846399,1.666667,3.666667,2.299256,5.40132
1499181852,1.846071,1.666667,3.666667,2.299504,5.40088
1499181853,1.845907,1.666667,3.666667,2.299628,5.40066
1499181854,1.845743,1.666667,3.666667,2.299752,5.40044
1499181855,1.845579,1.666667,3.666667,2.299876,5.40022
1499181856,1.845415,1.666667,3.666667,2.3,5.4
1499181857,1.845415,1.666667,3.666667,2.3,5.4
1499181858,1.845415,1.666667,3.666667,2.3,5.4
1499181859,1.845415,1.666667,3.666667,2.3,5.4
1499181860,1.845415,1.666667,3.666667,2.3,5.4
1499181861,1.845415,1.666667,3.666667,2.3,5.4
1499181862,1.845415,1.666667,3.666667,2.3,5.4
1499181863,1.845415,1.666667,3.666667,2.3,5.4
1499181864,1.845415,1.666667,3.666667,2.3,5.4
1499181865,1.845415,1.666667,3.666667,2.3,5.4
1499181866,1.845415,1.666667,3.666667,2.3,5.4
1499181867,1.845415,1.666667,3.666667,2.3,5.4
1499181868,1.845415,1.666667,3.666667,2.3,5.4
1499181869,1.845415,1.666667,3.666667,2.3,5.4
1499181870,1.845415,1.666667,3.666667,2.3,5.4
1499181871,1.845415,1.666667,3.666667,2.3,5.4
1499181872,1.845415,1.666667,3.666667,2.3,5.4
1499181873,1.845415,1.666667,3.666667,2.3,5.4
1499181874,2.350781,1.666667,3.666667,2.677778,5.788889
1499181875,2.869615,1.666667,3.666667,3.055556,6.177778
1499181876,3.395749,1.666667,3.666667,3.433333,6.566667
1499181877,3.926249,1.666667,3.666667,3.811111,6.955556
1499181878,4.459558,1.666667,3.666667,4.188889,7.344444
1499181879,4.994775,1.666667,3.666667,4.566667,7.733333
1499181880,5.531347,1.666667,3.666667,4.944444,8.122222
1499181881,6.068915,1.666667,3.666667,5.322222,8.511111
1499181882,6.607235,1.666667,3.666667,5.7,8.9
1499181883,6.607235,1.666667,3.666667,5.7,8.9
1499181884,6.607235,1.666667,3.666667,5.7,8.9
