time,error,es(x),es(y),gt(x),gt(y)
1498670641,4.528622,5.1,7.7,1.197742,5.402001
1498670642,4.528489,5.1,7.7,1.198065,5.401716
1498670643,4.528356,5.1,7.7,1.198387,5.40143
1498670644,4.528223,5.1,7.7,1.19871,5.401144
1498670645,4.528091,5.1,7.7,1.199032,5.400858
1498670646,4.527958,5.1,7.7,1.199355,5.400572
1498670688,4.123106,5,7,1.2,5.4
1498670691,4.123106,5,7,1.2,5.4
1498670694,4.123106,5,7,1.2,5.4
1498670697,4.123106,5,7,1.2,5.4
1498670700,4.123106,5,7,1.2,5.4
1498670703,4.123106,5,7,1.2,5.4
1498670706,4.123106,5,7,1.2,5.4
1498670709,4.123106,5,7,1.2,5.4
1498670712,4.123106,5,7,1.2,5.4
1498670715,4.123106,5,7,1.2,5.4
1498670718,4.123106,5,7,1.2,5.4
1498670721,3.948453,5,7,1.566667,5.05
1498670724,3.800585,5,7,2.666667,4
1498670727,4.031129,5,7,3.4,3.3
1498670730,4.031129,5,7,3.4,3.3
1498670733,4.031129,5,7,3.4,3.3
1498670736,4.031129,5,7,3.4,3.3
1498670739,4.031129,5,7,3.4,3.3
1498670742,4.031129,5,7,3.4,3.3
1498670745,4.031129,5,7,3.4,3.3
1498670748,4.031129,5,7,3.4,3.3
1498670751,4.031129,5,7,3.4,3.3
1498670754,4.031129,5,7,3.4,3.3
1498670757,4.031129,5,7,3.4,3.3
1498670760,4.031129,5,7,3.4,3.3
1498670763,4.031129,5,7,3.4,3.3
1498670766,4.031129,5,7,3.4,3.3
1498670802,1.213352,2.666667,2.333333,3.4,3.3
1498670805,1.213352,2.666667,2.333333,3.4,3.3
1498670811,1.213352,2.666667,2.333333,3.4,3.3
1498670814,1.213352,2.666667,2.333333,3.4,3.3
1498670817,1.213352,2.666667,2.333333,3.4,3.3
1498670820,1.213352,2.666667,2.333333,3.4,3.3
1498670822,1.581139,2.5,2,3.4,3.3
1498670823,1.581139,2.5,2,3.4,3.3
1498670824,1.581139,2.5,2,3.4,3.3
1498670825,1.581139,2.5,2,3.4,3.3
1498670826,1.581139,2.5,2,3.4,3.3
1498670827,1.581139,2.5,2,3.4,3.3
1498670828,1.581139,2.5,2,3.4,3.3
1498670829,1.581139,2.5,2,3.4,3.3
1498670832,1.581139,2.5,2,3.4,3.3
1498670835,1.581139,2.5,2,3.4,3.3
1498670837,1.581139,2.5,2,3.4,3.3
1498670838,1.581139,2.5,2,3.4,3.3
1498670839,1.581139,2.5,2,3.4,3.3
