time,error,es(x),es(y),gt(x),gt(y)
1499181841,0.403113,2.5,4.25,2.3,4.6
1499181842,0.403113,2.5,4.25,2.3,4.6
1499181843,0.453382,2.166667,4.166667,2.3,4.6
1499181844,0.453382,2.166667,4.166667,2.3,4.6
1499181845,0.316228,2,4.5,2.3,4.6
1499181846,0.316228,2,4.5,2.3,4.6
1499181847,0.316228,2,4.5,2.3,4.6
1499181848,0.316228,2,4.5,2.3,4.6
1499181849,0.316228,2,4.5,2.3,4.6
1499181850,0.316228,2,4.5,2.3,4.6
1499181852,2.523886,0.9,6.7,2.3,4.6
1499181853,2.523886,0.9,6.7,2.3,4.6
1499181854,2.523886,0.9,6.7,2.3,4.6
1499181855,2.523886,0.9,6.7,2.3,4.6
1499181856,2.523886,0.9,6.7,2.3,4.6
1499181857,0.316228,2,4.5,2.3,4.6
1499181858,0.316228,2,4.5,2.3,4.6
1499181859,0.316228,2,4.5,2.3,4.6
1499181860,4.17204,6.014286,6.5,2.3,4.6
1499181861,4.17204,6.014286,6.5,2.3,4.6
1499181862,2.529822,1.5,7,2.3,4.6
1499181863,2.529822,1.5,7,2.3,4.6
1499181864,3.008322,1.5,7.5,2.3,4.6
1499181865,5.859181,5,9.8,2.3,4.6
1499181866,5.859181,5,9.8,2.3,4.6
1499181867,5.859181,5,9.8,2.3,4.6
1499181868,5.859181,5,9.8,2.3,4.6
1499181869,5.859181,5,9.8,2.3,4.6
1499181870,5.859181,5,9.8,2.3,4.6
1499181871,5.859181,5,9.8,2.3,4.6
1499181872,5.859181,5,9.8,2.3,4.6
1499181873,5.859181,5,9.8,2.3,4.6
1499181874,5.262328,5,9.8,2.677778,5.077778
1499181875,4.668637,5,9.8,3.055556,5.555556
1499181876,4.079488,5,9.8,3.433333,6.033333
1499181877,3.497177,5,9.8,3.811111,6.511111
1499181878,2.92579,5,9.8,4.188889,6.988889
1499181879,2.37323,5,9.8,4.566667,7.466667
1499181880,1.856387,5,9.8,4.944444,7.944444
1499181881,1.414955,5,9.8,5.322222,8.422222
1499181882,1.140175,5,9.8,5.7,8.9
1499181883,1.140175,5,9.8,5.7,8.9
1499181884,1.140175,5,9.8,5.7,8.9
1499181885,1.140175,5,9.8,5.7,8.9
1499181886,6.082763,1.5,4.5,5.7,8.9
1499181887,4.140711,5.878947,4.763158,5.7,8.9
1499181888,4.140711,5.878947,4.763158,5.7,8.9
1499181889,3.113117,5.878947,4.763158,5.24,7.81
1499181890,1.949051,6.3,5.5,4.78,6.72
1499181891,1.904601,6.014286,6.5,4.32,5.63
1499181892,5.382119,5,9.8,3.86,4.54
1499181893,6.548473,5,9.8,3.4,3.45
1499181894,6.548473,5,9.8,3.4,3.45
1499181895,6.548473,5,9.8,3.4,3.45
1499181896,5.576021,5,9.8,3.783333,4.358333
1499181897,4.60929,5,9.8,4.166667,5.266667
1499181898,3.652824,5,9.8,4.55,6.175
1499181899,2.717485,5,9.8,4.933333,7.083333
1499181900,3.848205,1.5,7.5,5.316667,7.991667
1499181901,4.427189,1.5,7.5,5.7,8.9
1499181902,4.427189,1.5,7.5,5.7,8.9
1499181903,4.427189,1.5,7.5,5.7,8.9
1499181904,4.427189,1.5,7.5,5.7,8.9
1499181905,4.427189,1.5,7.5,5.7,8.9
1499181906,4.427189,1.5,7.5,5.7,8.9
1499181907,4.427189,1.5,7.5,5.7,8.9
1499181908,4.427189,1.5,7.5,5.7,8.9
1499181909,6.798693,1.166667,3.833333,5.7,8.9
1499181910,6.798693,1.166667,3.833333,5.7,8.9
1499181913,9.044335,0.5,1.5,5.7,8.9
1499181914,9.044335,0.5,1.5,5.7,8.9
1499181915,9.044335,0.5,1.5,5.7,8.9
1499181923,0.537484,5.166667,8.833333,5.7,8.9
1499181924,4.427189,1.5,7.5,5.7,8.9
1499181925,4.427189,1.5,7.5,5.7,8.9
1499181926,4.427189,1.5,7.5,5.7,8.9
1499181927,0.707107,5,9,5.7,8.9
1499181928,0.707107,5,9,5.7,8.9
1499181929,0.707107,5,9,5.7,8.9
1499181930,0.707107,5,9,5.7,8.9
1499181931,0.585525,5,9,5.322222,8.511111
1499181932,0.879534,5,9,4.944444,8.122222
1499181933,1.338739,5,9,4.566667,7.733333
1499181934,1.843574,5,9,4.188889,7.344444
1499181935,2.364997,5,9,3.811111,6.955556
1499181936,2.894055,5,9,3.433333,6.566667
1499181937,3.427215,5,9,3.055556,6.177778
1499181938,4.377792,5,9.5,2.677778,5.788889
1499181939,5.162364,5,9.8,2.3,5.4
1499181940,5.230717,5,9.8,2.3,5.32
1499181944,4.786671,5.166667,8.833333,2.3,5
1499181945,4.649344,1.5,9.5,2.3,4.92
1499181946,4.728171,1.5,9.5,2.3,4.84
1499181947,4.807037,1.5,9.5,2.3,4.76
1499181948,4.885939,1.5,9.5,2.3,4.68
1499181949,4.964877,1.5,9.5,2.3,4.6
1499181950,4.964877,1.5,9.5,2.3,4.6
1499181951,4.964877,1.5,9.5,2.3,4.6
1499181952,4.964877,1.5,9.5,2.3,4.6
1499181953,5.112621,5.166667,8.833333,2.3,4.6
1499181954,5.112621,5.166667,8.833333,2.3,4.6
1499181955,5.112621,5.166667,8.833333,2.3,4.6
1499181956,5.112621,5.166667,8.833333,2.3,4.6
1499181957,1.910497,1,6,2.3,4.6
1499181958,1.910497,1,6,2.3,4.6
1499181959,1.910497,1,6,2.3,4.6
1499181960,1.910497,1,6,2.3,4.6
1499181961,1.910497,1,6,2.3,4.6
1499181962,1.910497,1,6,2.3,4.6
1499181963,1.910497,1,6,2.3,4.6
1499181964,1.910497,1,6,2.3,4.6
1499181965,4.964877,1.5,9.5,2.3,4.6
1499181966,4.964877,1.5,9.5,2.3,4.6
1499181967,4.964877,1.5,9.5,2.3,4.6
1499181968,4.964877,1.5,9.5,2.3,4.6
1499181969,5.112621,5.166667,8.833333,2.3,4.6
1499181971,5.032892,0.5,9.3,2.3,4.6
1499181972,5.59464,5,9.5,2.3,4.6
1499181973,5.59464,5,9.5,2.3,4.6
1499181974,5.59464,5,9.5,2.3,4.6
1499181975,3.612478,5,7,2.3,4.6
1499181976,3.612478,5,7,2.3,4.6
1499181977,3.612478,5,7,2.3,4.6
1499181978,5.032892,0.5,9.3,2.3,4.6
1499181979,5.032892,0.5,9.3,2.3,4.6
1499181980,5.032892,0.5,9.3,2.3,4.6
1499181981,5.032892,0.5,9.3,2.3,4.6
1499181982,5.032892,0.5,9.3,2.3,4.6
1499181983,5.032892,0.5,9.3,2.3,4.6
1499181984,5.032892,0.5,9.3,2.3,4.6
1499181985,5.032892,0.5,9.3,2.3,4.6
1499181986,5.012265,0.5,9.3,2.517647,4.711765
1499181987,5.003532,0.5,9.3,2.735294,4.823529
1499181988,5.006753,0.5,9.3,2.952941,4.935294
1499181989,5.021907,0.5,9.3,3.170588,5.047059
1499181990,5.048886,0.5,9.3,3.388235,5.158824
1499181991,5.087501,0.5,9.3,3.605882,5.270588
1499181992,5.13749,0.5,9.3,3.823529,5.382353
1499181993,5.198526,0.5,9.3,4.041176,5.494118
1499181994,5.412292,0.5,9.5,4.258824,5.605882
1499181995,5.488034,0.5,9.5,4.476471,5.717647
1499181996,4.865758,1.5,9.5,4.694118,5.829412
1499181997,4.930047,1.5,9.5,4.911765,5.941176
1499181998,5.005481,1.5,9.5,5.129412,6.052941
1499181999,5.091566,1.5,9.5,5.347059,6.164706
1499182002,5.408327,1.5,9.5,6,6.5
1499182003,5.408327,1.5,9.5,6,6.5
1499182004,5.408327,1.5,9.5,6,6.5
1499182005,2.136001,5.25,8.5,6,6.5
1499182006,1.741055,5.878947,4.763158,6,6.5
1499182007,1.741055,5.878947,4.763158,6,6.5
1499182008,4.487637,2.166667,4.166667,6,6.5
1499182009,4.487637,2.166667,4.166667,6,6.5
1499182010,4.487637,2.166667,4.166667,6,6.5
1499182011,4.487637,2.166667,4.166667,6,6.5
1499182012,4.487637,2.166667,4.166667,6,6.5
1499182013,4.487637,2.166667,4.166667,6,6.5
1499182014,5.10392,0.9,6.7,6,6.5
1499182015,5.10392,0.9,6.7,6,6.5
1499182016,5.10392,0.9,6.7,6,6.5
1499182017,4.301163,2.5,4,6,6.5
1499182018,4.301163,2.5,4,6,6.5
1499182019,4.301163,2.5,4,6,6.5
1499182020,4.301163,2.5,4,6,6.5
1499182021,2.136001,5.25,8.5,6,6.5
1499182022,2.136001,5.25,8.5,6,6.5
1499182023,2.136001,5.25,8.5,6,6.5
1499182025,1.741055,5.878947,4.763158,6,6.5
1499182026,2.061553,5.5,4.5,6,6.5
1499182027,2.061553,5.5,4.5,6,6.5
1499182028,2.061553,5.5,4.5,6,6.5
1499182029,1.513275,5.8,5,6,6.5
1499182030,6.264982,0.5,3.5,6,6.5
1499182031,6.264982,0.5,3.5,6,6.5
1499182032,6.264982,0.5,3.5,6,6.5
1499182033,6.264982,0.5,3.5,6,6.5
1499182034,6.264982,0.5,3.5,6,6.5
1499182035,6.264982,0.5,3.5,6,6.5
1499182036,6.264982,0.5,3.5,6,6.5
1499182037,6.264982,0.5,3.5,6,6.5
1499182043,1.802776,4.5,5.5,6,6.5
1499182044,1.802776,4.5,5.5,6,6.5
1499182045,7.433034,0.5,1.5,6,6.5
1499182046,6.800735,0.5,2.5,6,6.5
1499182047,6.264982,0.5,3.5,6,6.5
1499182048,6.264982,0.5,3.5,6,6.5
1499182049,6.264982,0.5,3.5,6,6.5
1499182050,5.147815,3.5,2,6,6.5
1499182051,6.264982,0.5,3.5,6,6.5
1499182052,6.17171,0.5,9.3,6,6.5
1499182053,1.513275,5.8,5,6,6.5
1499182054,1.513275,5.8,5,6,6.5
1499182055,1.513275,5.8,5,6,6.5
1499182056,5.335937,2.666667,2.333333,6,6.5
1499182057,1.741055,5.878947,4.763158,6,6.5
1499182058,1.741055,5.878947,4.763158,6,6.5
1499182059,5.335937,2.666667,2.333333,6,6.5
1499182060,5.335937,2.666667,2.333333,6,6.5
1499182061,5.335937,2.666667,2.333333,6,6.5
1499182062,5.335937,2.666667,2.333333,6,6.5
1499182063,5.147815,3.5,2,6,6.5
1499182064,2.136001,5.25,8.5,6,6.5
1499182065,2.136001,5.25,8.5,6,6.5
1499182066,2.136001,5.25,8.5,6,6.5
1499182067,2.136001,5.25,8.5,6,6.5
1499182068,2.136001,5.25,8.5,6,6.5
1499182069,2.136001,5.25,8.5,6,6.5
1499182070,2.136001,5.25,8.5,6,6.5
1499182071,5.335937,2.666667,2.333333,6,6.5
1499182072,5.335937,2.666667,2.333333,6,6.5
1499182073,5.335937,2.666667,2.333333,6,6.5
1499182074,5.335937,2.666667,2.333333,6,6.5
1499182075,5.335937,2.666667,2.333333,6,6.5
1499182078,5.335937,2.666667,2.333333,6,6.5
1499182079,2.136001,5.25,8.5,6,6.5
1499182080,2.136001,5.25,8.5,6,6.5
1499182081,2.136001,5.25,8.5,6,6.5
1499182082,2.136001,5.25,8.5,6,6.5
1499182083,3.677295,5.25,8.5,6,4.9
1499182084,3.677295,5.25,8.5,6,4.9
1499182085,3.677295,5.25,8.5,6,4.9
1499182086,3.677295,5.25,8.5,6,4.9
1499182087,3.677295,5.25,8.5,6,4.9
1499182091,4.207005,2.666667,2.333333,6,4.9
1499182092,4.207005,2.666667,2.333333,6,4.9
1499182095,4.207005,2.666667,2.333333,6,4.9
1499182096,2.941088,5.1,7.7,6,4.9
1499182097,2.941088,5.1,7.7,6,4.9
1499182098,2.941088,5.1,7.7,6,4.9
1499182099,2.941088,5.1,7.7,6,4.9
1499182100,2.941088,5.1,7.7,6,4.9
1499182101,2.941088,5.1,7.7,6,4.9
1499182102,2.941088,5.1,7.7,6,4.9
1499182103,2.941088,5.1,7.7,6,4.9
1499182104,2.941088,5.1,7.7,6,4.9
1499182105,2.941088,5.1,7.7,6,4.9
1499182106,2.941088,5.1,7.7,6,4.9
1499182108,1.241219,5.8,6.125,6,4.9
1499182109,1.241219,5.8,6.125,6,4.9
1499182110,1.241219,5.8,6.125,6,4.9
1499182111,1.241219,5.8,6.125,6,4.9
1499182112,1.241219,5.8,6.125,6,4.9
1499182113,4.207005,2.666667,2.333333,6,4.9
1499182114,4.207005,2.666667,2.333333,6,4.9
1499182115,4.207005,2.666667,2.333333,6,4.9
1499182116,4.207005,2.666667,2.333333,6,4.9
1499182117,4.207005,2.666667,2.333333,6,4.9
1499182118,4.207005,2.666667,2.333333,6,4.9
1499182121,1.241219,5.8,6.125,6,4.9
1499182122,1.241219,5.8,6.125,6,4.9
1499182124,3.189044,3.9,7.3,6,4.9
1499182125,3.189044,3.9,7.3,6,4.9
1499182126,3.189044,3.9,7.3,6,4.9
1499182127,3.11699,3.9,7.3,5.5,4.625
1499182128,3.148412,3.9,7.3,5,4.35
1499182129,1.595501,5.8,5,4.5,4.075
1499182130,1.868154,3.5,2,4,3.8
1499182131,1.973729,5.166667,5.166667,4.014286,3.564286
1499182132,2.16191,5.166667,5.166667,4.028571,3.328571
1499182133,2.358736,5.166667,5.166667,4.042857,3.092857
1499182134,5.300481,1.5,7.5,4.057143,2.857143
1499182135,5.514771,1.5,7.5,4.071429,2.621429
1499182136,3.126222,5.8,5,4.085714,2.385714
1499182137,3.521542,5.492308,5.384615,4.1,2.15
1499182138,3.733917,5.492308,5.384615,4.114286,1.914286
1499182139,1.235714,4.5,0.5,4.128571,1.678571
1499182140,1.008231,4.5,0.5,4.142857,1.442857
1499182141,0.785877,4.5,0.5,4.157143,1.207143
1499182142,6.334389,3.9,7.3,4.171429,0.971429
1499182143,6.570501,3.9,7.3,4.185714,0.735714
1499182144,6.806614,3.9,7.3,4.2,0.5
1499182145,6.806614,3.9,7.3,4.2,0.5
1499182146,6.806614,3.9,7.3,4.2,0.5
1499182147,6.806614,3.9,7.3,4.2,0.5
1499182148,6.806614,3.9,7.3,4.2,0.5
1499182149,6.806614,3.9,7.3,4.2,0.5
1499182150,6.806614,3.9,7.3,4.2,0.5
1499182151,9.546203,0.5,9.3,4.2,0.5
1499182152,5.84813,5.8,6.125,4.2,0.5
1499182153,5.84813,5.8,6.125,4.2,0.5
1499182154,5.84813,5.8,6.125,4.2,0.5
1499182155,5.84813,5.8,6.125,4.2,0.5
1499182156,5.84813,5.8,6.125,4.2,0.5
1499182157,5.84813,5.8,6.125,4.2,0.5
1499182158,5.84813,5.8,6.125,4.2,0.5
1499182159,5.84813,5.8,6.125,4.2,0.5
1499182170,9.546203,0.5,9.3,4.2,0.5
1499182171,4.763402,0.5,3.5,4.2,0.5
1499182172,4.763402,0.5,3.5,4.2,0.5
1499182173,0.3,4.5,0.5,4.2,0.5
1499182174,0.3,4.5,0.5,4.2,0.5
1499182175,0.3,4.5,0.5,4.2,0.5
1499182176,0.3,4.5,0.5,4.2,0.5
1499182177,0.3,4.5,0.5,4.2,0.5
1499182178,0.3,4.5,0.5,4.2,0.5
1499182179,0.3,4.5,0.5,4.2,0.5
