time,error,es(x),es(y),gt(x),gt(y)
1498662083,6.607235,1.666667,3.666667,5.7,8.9
1498662084,6.607235,1.666667,3.666667,5.7,8.9
1498662093,1.779903,4.416667,7.666667,5.7,8.9
1498662099,1.204159,4.5,9,5.7,8.9
1498662101,1.204159,4.5,9,5.7,8.9
1498662102,1.204159,4.5,9,5.7,8.9
1498662103,1.204159,4.5,9,5.7,8.9
1498662105,1.204159,4.5,9,5.7,8.9
1498662108,1.204159,4.5,9,5.7,8.9
1498662109,0.537484,5.166667,8.833333,5.7,8.9
1498662110,0.537484,5.166667,8.833333,5.7,8.9
1498662111,0.537484,5.166667,8.833333,5.7,8.9
1498662112,0.537484,5.166667,8.833333,5.7,8.9
1498662113,0.537484,5.166667,8.833333,5.7,8.9
1498662114,0.537484,5.166667,8.833333,5.7,8.9
1498662115,0.537484,5.166667,8.833333,5.7,8.9
1498662116,0.537484,5.166667,8.833333,5.7,8.9
1498662117,0.537484,5.166667,8.833333,5.7,8.9
1498662118,0.537484,5.166667,8.833333,5.7,8.9
1498662131,5.246163,5.166667,8.833333,1.2,5.4
1498662132,5.246163,5.166667,8.833333,1.2,5.4
1498662133,5.246163,5.166667,8.833333,1.2,5.4
1498662141,5.246163,5.166667,8.833333,1.2,5.4
1498662144,5.246163,5.166667,8.833333,1.2,5.4
1498662147,5.246163,5.166667,8.833333,1.2,5.4
1498662168,5.246163,5.166667,8.833333,1.2,5.4
1498662171,5.246163,5.166667,8.833333,1.2,5.4
1498662174,5.246163,5.166667,8.833333,1.2,5.4
1498662177,5.246163,5.166667,8.833333,1.2,5.4
1498662180,5.246163,5.166667,8.833333,1.2,5.4
1498662183,5.246163,5.166667,8.833333,1.2,5.4
1498662186,5.246163,5.166667,8.833333,1.2,5.4
1498662189,5.246163,5.166667,8.833333,1.2,5.4
1498662192,5.246163,5.166667,8.833333,1.2,5.4
1498662195,5.246163,5.166667,8.833333,1.2,5.4
1498662198,5.246163,5.166667,8.833333,1.2,5.4
1498662201,5.246163,5.166667,8.833333,1.2,5.4
1498662204,5.246163,5.166667,8.833333,1.2,5.4
1498662207,5.246163,5.166667,8.833333,1.2,5.4
1498662210,5.246163,5.166667,8.833333,1.2,5.4
1498662213,5.246163,5.166667,8.833333,1.2,5.4
1498662216,5.246163,5.166667,8.833333,1.2,5.4
1498662219,5.246163,5.166667,8.833333,1.2,5.4
1498662222,5.246163,5.166667,8.833333,1.2,5.4
1498662225,5.246163,5.166667,8.833333,1.2,5.4
1498662228,5.246163,5.166667,8.833333,1.2,5.4
1498662231,5.246163,5.166667,8.833333,1.2,5.4
1498662234,5.246163,5.166667,8.833333,1.2,5.4
1498662237,5.246163,5.166667,8.833333,1.2,5.4
1498662240,5.246163,5.166667,8.833333,1.2,5.4
1498662243,5.246163,5.166667,8.833333,1.2,5.4
1498662246,5.246163,5.166667,8.833333,1.2,5.4
1498662249,5.246163,5.166667,8.833333,1.2,5.4
1498662252,5.246163,5.166667,8.833333,1.2,5.4
1498662255,5.246163,5.166667,8.833333,1.2,5.4
1498662258,5.246163,5.166667,8.833333,1.2,5.4
1498662261,5.246163,5.166667,8.833333,1.2,5.4
1498662264,5.246163,5.166667,8.833333,1.2,5.4
1498662267,5.246163,5.166667,8.833333,1.2,5.4
1498662270,5.246163,5.166667,8.833333,1.2,5.4
1498662273,5.246163,5.166667,8.833333,1.2,5.4
1498662276,5.246163,5.166667,8.833333,1.2,5.4
1498662279,5.246163,5.166667,8.833333,1.2,5.4
1498662282,5.246163,5.166667,8.833333,1.2,5.4
1498662285,5.246163,5.166667,8.833333,1.2,5.4
1498662288,5.246163,5.166667,8.833333,1.2,5.4
1498662291,5.246163,5.166667,8.833333,1.2,5.4
1498662294,5.246163,5.166667,8.833333,1.2,5.4
1498662297,5.246163,5.166667,8.833333,1.2,5.4
1498662300,5.246163,5.166667,8.833333,1.2,5.4
1498662303,5.246163,5.166667,8.833333,1.2,5.4
1498662306,5.246163,5.166667,8.833333,1.2,5.4
1498662309,5.246163,5.166667,8.833333,1.2,5.4
1498662312,5.246163,5.166667,8.833333,1.2,5.4
1498662315,5.246163,5.166667,8.833333,1.2,5.4
1498662318,5.246163,5.166667,8.833333,1.2,5.4
1498662321,5.246163,5.166667,8.833333,1.2,5.4
1498662324,5.284052,5.166667,8.833333,2.142857,4.5
1498662327,5.631886,5.166667,8.833333,3.085714,3.6
1498662330,5.808519,5.166667,8.833333,3.4,3.3
1498662333,5.808519,5.166667,8.833333,3.4,3.3
1498662336,5.808519,5.166667,8.833333,3.4,3.3
1498662339,5.808519,5.166667,8.833333,3.4,3.3
1498662342,5.808519,5.166667,8.833333,3.4,3.3
1498662345,5.808519,5.166667,8.833333,3.4,3.3
1498662348,5.808519,5.166667,8.833333,3.4,3.3
1498662351,2.5,1,4,3.4,3.3
1498662352,2.5,1,4,3.4,3.3
1498662354,2.5,1,4,3.4,3.3
1498662355,2.5,1,4,3.4,3.3
1498662356,2.202272,3.5,5.5,3.4,3.3
1498662357,2.202272,3.5,5.5,3.4,3.3
1498662358,2.202272,3.5,5.5,3.4,3.3
1498662359,2.202272,3.5,5.5,3.4,3.3
1498662360,2.202272,3.5,5.5,3.4,3.3
1498662363,2.202272,3.5,5.5,3.4,3.3
1498662366,2.202272,3.5,5.5,3.4,3.3
1498662375,0.921954,2.5,3.5,3.4,3.3
1498662378,0.921954,2.5,3.5,3.4,3.3
1498662393,0.921954,2.5,3.5,3.4,3.3
1498662396,0.921954,2.5,3.5,3.4,3.3
