time,agentID,x,y,z,action
1,1,1.197742,0.105,5.402001,walk
2,1,1.198065,0.105,5.401716,walk
3,1,1.198387,0.105,5.40143,walk
4,1,1.19871,0.105,5.401144,walk
5,1,1.199032,0.105,5.400858,walk
6,1,1.199355,0.105,5.400572,walk
48,1,1.2,0.105,5.4,walk
51,1,1.2,0.105,5.4,walk
54,1,1.2,0.105,5.4,walk
57,1,1.2,0.105,5.4,walk
60,1,1.2,0.105,5.4,walk
63,1,1.2,0.105,5.4,walk
66,1,1.2,0.105,5.4,walk
69,1,1.2,0.105,5.4,walk
72,1,1.2,0.105,5.4,walk
75,1,1.2,0.105,5.4,walk
78,1,1.2,0.105,5.4,walk
81,1,1.566667,0.105,5.05,walk
84,1,2.666667,0.105,4,walk
87,1,3.4,0.105,3.3,walk
90,1,3.4,0.105,3.3,walk
93,1,3.4,0.105,3.3,walk
96,1,3.4,0.105,3.3,walk
99,1,3.4,0.105,3.3,walk
102,1,3.4,0.105,3.3,walk
105,1,3.4,0.105,3.3,walk
108,1,3.4,0.105,3.3,walk
111,1,3.4,0.105,3.3,walk
114,1,3.4,0.105,3.3,walk
117,1,3.4,0.105,3.3,walk
120,1,3.4,0.105,3.3,walk
123,1,3.4,0.105,3.3,walk
126,1,3.4,0.105,3.3,walk
162,1,3.4,0.105,3.3,walk
165,1,3.4,0.105,3.3,walk
171,1,3.4,0.105,3.3,walk
174,1,3.4,0.105,3.3,walk
177,1,3.4,0.105,3.3,walk
180,1,3.4,0.105,3.3,walk
182,1,3.4,0.105,3.3,walk
183,1,3.4,0.105,3.3,walk
184,1,3.4,0.105,3.3,walk
185,1,3.4,0.105,3.3,walk
186,1,3.4,0.105,3.3,walk
187,1,3.4,0.105,3.3,walk
188,1,3.4,0.105,3.3,walk
189,1,3.4,0.105,3.3,walk
192,1,3.4,0.105,3.3,walk
195,1,3.4,0.105,3.3,walk
197,1,3.4,0.105,3.3,walk
198,1,3.4,0.105,3.3,walk
199,1,3.4,0.105,3.3,walk
216,1,3.4,0.105,3.3,walk
219,1,3.4,0.105,3.3,walk
222,1,3.4,0.105,3.3,walk
225,1,3.4,0.105,3.3,walk
231,1,3.4,0.105,3.3,walk
234,1,3.4,0.105,3.3,walk
237,1,3.4,0.105,3.3,walk
239,1,3.4,0.105,3.3,walk
240,1,3.4,0.105,3.3,walk
243,1,3.4,0.105,3.3,walk
246,1,3.4,0.105,3.3,walk
249,1,3.4,0.105,3.3,walk
252,1,3.4,0.105,3.3,walk
255,1,3.4,0.105,3.3,walk
258,1,3.4,0.105,3.3,walk
264,1,3.4,0.105,3.3,walk
267,1,3.4,0.105,3.3,walk
270,1,3.4,0.105,3.3,walk
273,1,3.4,0.105,3.3,walk
276,1,3.4,0.105,3.3,walk
279,1,3.4,0.105,3.3,walk
282,1,3.4,0.105,3.3,walk
285,1,3.4,0.105,3.3,walk
288,1,3.4,0.105,3.3,walk
297,1,3.4,0.105,3.3,walk
300,1,3.4,0.105,3.3,walk
303,1,3.4,0.105,3.3,walk
306,1,3.4,0.105,3.3,walk
309,1,3.4,0.105,3.3,walk
312,1,3.4,0.105,3.3,walk
315,1,3.4,0.105,3.3,walk
336,1,3.4,0.105,3.3,walk
339,1,3.4,0.105,3.3,walk
342,1,3.4,0.105,3.3,walk
345,1,3.4,0.105,3.3,walk
348,1,3.4,0.105,3.3,walk
357,1,3.4,0.105,3.3,walk
360,1,3.4,0.105,3.3,walk
366,1,3.4,0.105,3.3,walk
369,1,3.4,0.105,3.3,walk
373,1,3.4,0.105,3.3,walk
374,1,3.4,0.105,3.3,walk
375,1,3.4,0.105,3.3,walk
376,1,3.4,0.105,3.3,walk
390,1,3.4,0.105,3.3,walk
393,1,3.4,0.105,3.3,walk
399,1,3.4,0.105,3.3,walk
405,1,3.4,0.105,3.3,walk
406,1,3.4,0.105,3.3,walk
407,1,3.4,0.105,3.3,walk
408,1,3.4,0.105,3.3,walk
409,1,3.4,0.105,3.3,walk
417,1,3.4,0.105,3.3,walk
435,1,3.4,0.105,3.3,walk
438,1,3.4,0.105,3.3,walk
444,1,3.4,0.105,3.3,walk
450,1,3.4,0.105,3.3,walk
451,1,3.4,0.105,3.3,walk
452,1,3.4,0.105,3.3,walk
453,1,3.4,0.105,3.3,walk
454,1,3.4,0.105,3.3,walk
455,1,3.4,0.105,3.3,walk
456,1,3.4,0.105,3.3,walk
477,1,3.4,0.105,3.3,walk
486,1,3.4,0.105,3.3,walk
495,1,3.4,0.105,3.3,walk
507,1,3.4,0.105,3.3,walk
510,1,3.4,0.105,3.3,walk
513,1,3.4,0.105,3.3,walk
516,1,3.4,0.105,3.3,walk
531,1,3.4,0.105,3.3,walk
542,1,3.4,0.105,3.3,walk
543,1,3.4,0.105,3.3,walk
544,1,3.4,0.105,3.3,walk
545,1,3.4,0.105,3.3,walk
546,1,3.4,0.105,3.3,walk
547,1,3.4,0.105,3.3,walk
548,1,3.4,0.105,3.3,walk
549,1,3.4,0.105,3.3,walk
550,1,3.4,0.105,3.3,walk
567,1,3.4,0.105,3.3,walk
582,1,3.4,0.105,3.3,walk
584,1,3.4,0.105,3.3,walk
585,1,3.4,0.105,3.3,walk
586,1,3.4,0.105,3.3,walk
587,1,3.4,0.105,3.3,walk
588,1,3.4,0.105,3.3,walk
589,1,3.4,0.105,3.3,walk
