time,error,es(x),es(y),gt(x),gt(y)
1499198781,7.940403,1,2.5,5.7,8.9
1499198784,7.940403,1,2.5,5.7,8.9
1499198790,7.940403,1,2.5,5.7,8.9
1499198793,7.940403,1,2.5,5.7,8.9
1499198856,3.269387,4.333333,6.333333,1.2,5.4
1499198859,3.269387,4.333333,6.333333,1.2,5.4
1499198862,3.269387,4.333333,6.333333,1.2,5.4
1499198865,3.269387,4.333333,6.333333,1.2,5.4
1499198868,3.269387,4.333333,6.333333,1.2,5.4
1499198871,3.269387,4.333333,6.333333,1.2,5.4
1499198874,3.269387,4.333333,6.333333,1.2,5.4
1499198877,3.269387,4.333333,6.333333,1.2,5.4
1499198880,3.269387,4.333333,6.333333,1.2,5.4
1499198883,3.269387,4.333333,6.333333,1.2,5.4
1499198886,3.269387,4.333333,6.333333,1.2,5.4
1499198889,3.269387,4.333333,6.333333,1.2,5.4
1499198892,3.269387,4.333333,6.333333,1.2,5.4
1499198895,3.269387,4.333333,6.333333,1.2,5.4
1499198898,3.269387,4.333333,6.333333,1.2,5.4
1499198901,3.269387,4.333333,6.333333,1.2,5.4
1499198904,3.269387,4.333333,6.333333,1.2,5.4
1499198907,3.179364,4.333333,6.333333,1.3375,5.26875
1499198910,2.966538,4.333333,6.333333,1.75,4.875
1499198913,2.853547,4.333333,6.333333,2.1625,4.48125
1499198916,2.85228,4.333333,6.333333,2.575,4.0875
1499198919,2.962882,4.333333,6.333333,2.9875,3.69375
1499198922,3.173676,4.333333,6.333333,3.4,3.3
1499198925,3.173676,4.333333,6.333333,3.4,3.3
1499198928,3.173676,4.333333,6.333333,3.4,3.3
1499198931,3.173676,4.333333,6.333333,3.4,3.3
1499198934,3.173676,4.333333,6.333333,3.4,3.3
1499198937,3.173676,4.333333,6.333333,3.4,3.3
1499198940,3.173676,4.333333,6.333333,3.4,3.3
1499198943,3.173676,4.333333,6.333333,3.4,3.3
1499198946,3.173676,4.333333,6.333333,3.4,3.3
1499198989,2.061553,1.5,2.5,3.4,3.3
1499198990,2.061553,1.5,2.5,3.4,3.3
1499198991,2.061553,1.5,2.5,3.4,3.3
1499198992,2.061553,1.5,2.5,3.4,3.3
1499198993,2.061553,1.5,2.5,3.4,3.3
1499198994,2.061553,1.5,2.5,3.4,3.3
1499198995,2.061553,1.5,2.5,3.4,3.3
1499199002,2.061553,1.5,2.5,3.4,3.3
1499199003,1.213352,2.666667,2.333333,3.4,3.3
1499199004,1.213352,2.666667,2.333333,3.4,3.3
1499199005,1.213352,2.666667,2.333333,3.4,3.3
1499199006,1.213352,2.666667,2.333333,3.4,3.3
1499199007,1.213352,2.666667,2.333333,3.4,3.3
1499199008,1.213352,2.666667,2.333333,3.4,3.3
1499199009,1.213352,2.666667,2.333333,3.4,3.3
1499199010,1.213352,2.666667,2.333333,3.4,3.3
1499199011,1.213352,2.666667,2.333333,3.4,3.3
1499199020,1.213352,2.666667,2.333333,3.4,3.3
1499199021,1.213352,2.666667,2.333333,3.4,3.3
1499199022,1.213352,2.666667,2.333333,3.4,3.3
1499199023,1.213352,2.666667,2.333333,3.4,3.3
1499199024,2.418677,5.5,4.5,3.4,3.3
1499199025,2.418677,5.5,4.5,3.4,3.3
1499199026,2.418677,5.5,4.5,3.4,3.3
1499199027,2.418677,5.5,4.5,3.4,3.3
1499199028,2.418677,5.5,4.5,3.4,3.3
1499199029,2.418677,5.5,4.5,3.4,3.3
1499199030,2.418677,5.5,4.5,3.4,3.3
1499199044,1.213352,2.666667,2.333333,3.4,3.3
1499199045,1.213352,2.666667,2.333333,3.4,3.3
1499199046,1.213352,2.666667,2.333333,3.4,3.3
1499199047,1.213352,2.666667,2.333333,3.4,3.3
1499199048,0.806226,3.5,2.5,3.4,3.3
1499199060,0.806226,3.5,2.5,3.4,3.3
1499199061,0.806226,3.5,2.5,3.4,3.3
1499199062,0.806226,3.5,2.5,3.4,3.3
1499199063,0.806226,3.5,2.5,3.4,3.3
1499199064,0.806226,3.5,2.5,3.4,3.3
1499199065,0.806226,3.5,2.5,3.4,3.3
