Time,x,y
1498662065,80,540
1498662069,240,540
1498662076,570,890
1498662082,570,890
1498662118,570,890
1498662124,80,540
1498662321,80,540
1498662328,340,330
1498663228,340,330
1498663233,80,540
1498663760,80,540
1498663771,640,650
1498663813,640,650
1498663822,295,710
1498663826,420,450
1498663834,420,450
1498663837,420,50
1498663943,420,50
1498663951,640,650
1498664032,640,740
1498664079,640,740
1498664080,640,650
1498664109,640,650
1498664111,640,490
1498664171,640,490
1498664176,420,50
1498664181,420,50
1498664185,295,710
1498664223,295,710
1498664228,50,940
1498664240,50,940
1498664244,295,710
1498664262,295,710
1498664267,250,1020
1498664288,250,1020
1498664293,250,1020
1498664298,185,1020
1498664302,185,1020
1498664305,185,1020
1498664312,185,1020
1498664316,295,710
1498664324,295,710
1498664327,185,1020
1498664335,185,1020
1498664339,295,710
1498664544,295,710
1498664558,295,710
1498664565,185,1020
1498664570,185,1020
1498664576,185,1020
1498664579,215,710
1498664582,295,710
1498664587,185,1020
1498664592,295,710
1498664607,295,710
1498664608,50,660
1498664626,295,710
1498664631,295,710
1498664634,50,660
1498664638,50,660
1498664641,295,710
1498664645,295,710
1498664649,250,1020
1498664658,250,1020
1498664663,295,710
1498664737,295,710
1498664741,295,710
1498664744,50,940
1498664752,50,940
1498664755,295,710
1498664772,295,710
1498932665,50,660
1498664782,50,660
1498664784,295,710
1498664852,295,710
1498664856,185,1020
1498664865,185,1020
1498664869,295,710
1498664902,295,710
1498664905,50,660
1498664914,50,660
1498664920,295,795
1498664938,295,795
1498664941,50,660
1498664956,50,660
1498664960,295,710
1498664975,295,710
1498665118,295,710
1498665122,185,1020
1498665144,250,1020
1498665151,80,540
1498665154,80,540
1498665157,295,710
1498665163,80,540
1498665169,250,1020
1498665173,250,1020
1498665178,80,540
1498665180,295,710
1498665191,295,710
1498665193,50,660
1498665198,50,660
1498665201,80,540
1498665411,80,540
1498665415,295,710
1498665419,80,540
1498665469,80,540
1498665473,295,710
1498665481,295,710
1498665496,295,710
1498665500,50,940
1498665555,50,940
1498665558,80,540
1498665563,295,710
1498665567,50,940
1498665756,50,940
1498665757,185,1020
1498665762,295,710
1498665778,295,710
1498665780,80,540
1498665793,80,540
1498665797,50,940
1498665800,50,940
1498665801,250,1020
1498665808,325,710
1498665813,295,710
1498665818,50,940
1498665905,50,940
1498665910,295,710
1498665915,295,710
1498665919,185,1020
1498665947,250,1020
1498665954,250,1020
1498665960,80,540
1498665970,80,540
1498665978,570,890
1498665983,570,890
1498665987,325,710
1498665998,150,885
1498666065,150,885
1498666067,100,660
1498666071,295,710
1498666092,240,540
1498666130,295,710
1498666140,295,710
1498666144,570,890
1498666161,570,890
1498666163,325,710
1498666170,325,710
1498666173,570,890
1498666180,570,890
1498666223,570,890
1498666227,325,710
1498666235,325,710
1498666238,570,890
1498666241,570,890
1498666246,50,840
1498666250,50,840
1498666254,570,890
1498666259,570,890
1498666264,50,840
1498666295,50,840
1498666297,50,940
1498666302,50,940
1498666303,50,840
1498666307,50,840
1498666311,295,710
1498666315,325,710
1498666325,325,710
1498666327,570,890
1498666331,570,890
1498666337,50,840
1498666481,50,840
1498666485,325,710
1498666487,325,710
1498666494,50,840
1498666539,50,840
1498666543,570,890
1498666555,570,890
1498666558,325,710
1498666561,325,710
1498666564,50,840
1498666580,50,840
1498666585,570,890
1498666588,570,890
1498666591,325,710
1498666596,325,710
1498666600,80,540
1498666615,80,540
1498666622,65,340
1498667663,65,340
1498667668,80,540
1498668112,80,540
1498668119,340,345
1498668436,340,345
