start of session,x,y
1498670648,80,540
1498670720,80,540
1498670726,340,330
1498671822,340,330
1498671832,640,650
1498671876,640,650
1498671880,420,450
1498671887,420,450
1498671890,420,50
1498672001,420,50
1498672009,640,650
1498672124,640,650
1498672127,640,740
1498672173,640,740
1498672176,640,650
1498672178,640,650
1498672179,640,490
1498672243,640,490
1498672245,325,710
1498672248,325,710
1498672255,50,840
1498672258,295,710
1498672265,295,710
1498672277,295,710
1498672283,50,940
1498672292,50,940
1498672296,295,710
1498672326,295,710
1498672329,250,1020
1498672347,250,1020
1498672349,185,1020
1498672355,185,1020
1498672357,250,1020
1498672362,250,1020
1498672366,295,710
1498672467,295,710
1498672470,250,1020
1498672482,250,1020
1498672487,295,710
1498672730,295,710
1498672740,185,1020
1498672745,185,1020
1498672751,185,1020
1498672756,295,710
1498672759,50,660
1498672770,50,660
1498672773,295,710
1498672978,295,710
1498672988,295,710
1498672991,50,660
1498672997,50,660
1498673003,50,940
1498673007,50,940
1498673009,50,840
1498673012,295,710
1498673017,295,710
1498673002,250,1020
1498673029,250,1020
1498673033,295,710
1498673065,295,710
1498673070,185,1020
1498673076,295,710
1498673130,295,710
1498673136,250,1020
1498673140,250,1020
1498673144,295,710
1498673167,295,710
1498673171,250,1020
1498673176,250,1020
1498673179,50,660
1498673192,50,660
1498673195,295,710
1498673222,295,710
1498673224,50,660
1498673228,50,660
1498673171,295,710
1498673270,295,710
1498673273,50,660
1498673278,295,710
1498673358,295,710
1498673362,185,1020
1498673389,250,1020
1498673396,185,1020
1498673399,185,1020
1498673403,240,540
1498673413,240,540
1498673416,295,710
1498673418,240,540
1498673423,240,540
1498673426,295,710
1498673431,295,710
1498673433,240,540
1498673442,50,660
1498673450,240,540
1498673763,240,540
1498673773,50,940
1498673791,50,940
1498673794,215,710
1498673799,50,840
1498673802,215,710
1498673805,50,840
1498673808,295,710
1498673813,295,710
1498673817,50,940
1498674198,50,940
1498674203,240,540
1498674206,240,540
1498674212,50,940
1498674219,185,1020
1498674237,185,1020
1498674240,185,1020
1498674251,250,1020
1498674281,50,940
1498674291,50,840
1498674300,50,940
1498674306,50,940
1498674311,295,710
1498674316,570,890
1498674335,570,890
1498674340,325,710
1498674345,295,710
1498674359,350,510
1498674369,295,710
1498674383,100,660
1498674408,150,885
1498674445,150,885
1498674450,295,710
1498674470,150,885
1498674483,295,710
1498674494,570,890
1498674518,570,890
1498674576,570,890
1498674593,570,890
1498674598,50,840
1498674613,50,840
1498674620,570,890
1498674662,570,890
1498674666,50,840
1498674938,50,840
1498674944,570,890
1498674963,570,890
1498674968,50,840
1498675000,50,840
1498675005,570,890
1498675008,570,890
1498675012,50,840
1498675021,50,840
1498675023,80,540
1498675029,80,540
1498675031,240,650
1498677257,240,650
1498677262,340,345
1498677468,340,345
