start of session,x,y
1499181856,240,470
1499181873,240,470
1499181882,570,890
1499181888,570,890
1499181893,340,345
1499181895,340,345
1499181901,570,890
1499181903,570,890
1499181930,570,890
1499181939,240,540
1499181949,240,470
1499181985,240,470
1499182002,640,650
1499182082,640,650
1499182083,640,490
1499182126,640,490
1499182130,420,450
1499182144,420,50
1499182264,420,50
1499182272,640,650
1499182352,640,650
1499182355,640,740
1499182535,640,740
1499182536,640,650
1499182578,640,650
1499182579,640,490
1499182633,640,490
1499182656,240,470
1499182661,240,470
1499182666,65,340
1499182928,65,340
1499182930,65,340
1499182982,65,340
1499182990,65,340
1499183054,65,340
1499183085,65,340
1499183177,65,340
1499183184,65,340
1499183237,65,340
1499183245,65,340
1499183344,65,340
1499183348,65,340
1499183358,65,340
1499183359,65,340
1499183423,65,340
1499183439,65,340
1499183479,65,340
1499184369,65,340
1499184381,100,660
1499184386,295,710
1499184396,295,710
1499184407,295,710
1499184412,50,940
1499184415,50,940
1499184429,50,940
1499184434,295,710
1499184441,50,940
1499184451,50,940
1499184483,50,940
1499184487,295,710
1499184497,295,710
1499184517,295,710
1499184522,250,1020
1499184524,250,1020
1499184528,250,1020
1499184553,250,1020
1499184562,250,1020
1499184567,250,1020
1499184577,185,1020
1499184602,185,1020
1499184595,295,795
1499184604,50,940
1499184626,50,940
1499184632,100,660
1499184639,50,660
1499184649,295,795
1499184680,295,710
1499184687,325,710
1499184746,250,1020
1499184759,325,710
1499184820,50,660
1499184830,295,710
1499184848,250,1020
1499184852,250,1020
1499184859,250,1020
1499184868,250,1020
1499184877,295,710
1499184882,295,710
1499184891,50,660
1499184905,295,710
1499184912,250,1020
1499184914,250,1020
1499184916,250,1020
1499184928,295,795
1499184933,295,795
1499184936,185,1020
1499184944,185,1020
1499184947,215,710
1499184958,215,710
1499184964,50,660
1499184979,295,795
1499184990,185,1020
1499185005,295,795
1499185812,295,795
1499185822,240,470
1499186950,240,470
1499186953,50,660
1499186959,50,660
1499186962,250,1020
1499186965,250,1020
1499186969,50,940
1499186989,50,940
1499186995,50,940
1499187309,50,940
1499187312,240,540
1499187352,240,540
1499187358,295,710
1499187372,250,1020
1499187382,295,710
1499187397,50,940
1499187424,50,840
1499187455,215,710
1499187518,240,470
1499187552,240,470
1499187562,325,710
1499187621,325,710
1499187622,570,890
1499187645,570,890
1499187667,570,890
1499187672,50,940
1499187684,570,890
1499187710,50,940
1499187732,50,940
1499187737,295,710
1499187745,240,540
1499187745,240,540
1499187795,295,710
1499187821,80,540
1499187847,80,540
1499187886,295,710
1499187919,570,890
1499187928,325,710
1499187933,325,710
1499187939,340,330
1499188090,340,330
1499188097,340,330
1499188122,340,330
1499188127,340,330
1499188148,340,330
1499188153,340,330
1499188473,340,330
1499188479,340,330
1499188488,340,330
1499188493,340,330
1499188499,340,330
1499188511,340,330
1499188522,340,330
1499188531,340,330
1499188879,340,330
1499188883,340,345
1499189183,340,345
1499189189,570,890
1499189278,570,890
1499189286,50,840
1499189293,570,890
1499189311,50,840
1499189316,50,840
1499190282,50,840
1499190287,570,890
1499190290,570,890
1499190295,50,840
1499190310,50,840
1499190316,570,890
1499190327,570,890
1499190332,295,710
1499190339,340,345
1499190717,340,345
1499190722,240,470
