location,date,b3001,b3002,b3003,b3004,b3005,b3006,b3007,b3008,b3009,b3010,b3011,b3012,b3013
R15,10-10-2016 10:35:20,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-63,-200
R15,10-10-2016 10:35:22,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-61,-200
P15,10-10-2016 10:35:24,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-74,-200
P15,10-10-2016 10:35:26,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200
P15,10-10-2016 10:35:28,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200
N15,10-10-2016 10:35:30,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200
N15,10-10-2016 10:35:32,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-80,-200
N15,10-10-2016 10:35:34,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-62,-200,-200
N15,10-10-2016 10:35:36,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-67,-200,-200
K08,10-10-2016 10:35:38,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200
K08,10-10-2016 10:35:40,-200,-200,-200,-200,-78,-76,-200,-200,-200,-200,-200,-200,-200
K08,10-10-2016 10:35:42,-200,-200,-200,-200,-77,-78,-200,-200,-200,-200,-200,-200,-200
K08,10-10-2016 10:35:44,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200
K08,10-10-2016 10:35:46,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200
K07,10-10-2016 10:35:48,-200,-200,-200,-200,-76,-76,-200,-200,-200,-200,-200,-200,-200
K07,10-10-2016 10:35:50,-200,-200,-200,-200,-75,-75,-200,-81,-200,-200,-200,-200,-200
K07,10-10-2016 10:35:52,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200
K07,10-10-2016 10:35:54,-200,-200,-200,-200,-72,-77,-200,-200,-200,-200,-200,-200,-200
K07,10-10-2016 10:35:56,-200,-200,-200,-200,-73,-77,-200,-200,-200,-200,-200,-200,-200
K06,10-10-2016 10:35:58,-200,-200,-200,-200,-73,-76,-200,-200,-200,-200,-200,-200,-200
K06,10-10-2016 10:36:00,-200,-81,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200
K06,10-10-2016 10:36:02,-200,-200,-200,-200,-75,-78,-200,-200,-200,-200,-200,-200,-200
K06,10-10-2016 10:36:04,-200,-77,-200,-200,-78,-77,-200,-200,-200,-200,-200,-200,-200
K05,10-10-2016 10:36:06,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200
K05,10-10-2016 10:36:08,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
K05,10-10-2016 10:36:10,-200,-80,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
K05,10-10-2016 10:36:12,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
K04,10-10-2016 10:36:14,-200,-74,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
K04,10-10-2016 10:36:16,-200,-73,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
K04,10-10-2016 10:36:18,-200,-72,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
J01,10-10-2016 10:36:20,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
J01,10-10-2016 10:36:22,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
J02,10-10-2016 10:36:24,-200,-76,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
J02,10-10-2016 10:36:26,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
J02,10-10-2016 10:36:28,-200,-75,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
J02,10-10-2016 10:36:30,-200,-72,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
J03,10-10-2016 10:36:32,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
J03,10-10-2016 10:36:34,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
J03,10-10-2016 10:36:36,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
J03,10-10-2016 10:36:38,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
J03,10-10-2016 10:36:40,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
J04,10-10-2016 10:36:42,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
J04,10-10-2016 10:36:44,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
J04,10-10-2016 10:36:46,-200,-64,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
J04,10-10-2016 10:36:48,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
J05,10-10-2016 10:36:50,-200,-62,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200
J05,10-10-2016 10:36:52,-200,-62,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200
J05,10-10-2016 10:36:54,-200,-59,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
J06,10-10-2016 10:36:56,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
J06,10-10-2016 10:36:58,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200
J06,10-10-2016 10:37:00,-200,-80,-200,-200,-76,-200,-200,-81,-200,-200,-200,-200,-200
J07,10-10-2016 10:37:02,-200,-74,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200
J07,10-10-2016 10:37:04,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200
J07,10-10-2016 10:37:06,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200
J07,10-10-2016 10:37:08,-200,-200,-84,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200
J07,10-10-2016 10:37:10,-200,-200,-200,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200
J08,10-10-2016 10:37:12,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
D13,10-10-2016 10:45:00,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200
D13,10-10-2016 10:45:03,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200
D13,10-10-2016 10:45:06,-200,-200,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200
D14,10-10-2016 10:45:09,-200,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200
D14,10-10-2016 10:45:12,-200,-200,-200,-200,-200,-200,-200,-200,-65,-200,-200,-200,-200
D15,10-10-2016 10:45:15,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200
